year,direction_ferme,total_value,total_relative,total_slope,total_reg,total_relative,total_peace_reg_memory,total_peace_reg_no_memory,total_avg_war_loss_memory,total_avg_war_loss_no_memory,imports_value,imports_relative,imports_slope,imports_reg,imports_relative,imports_peace_reg_memory,imports_peace_reg_no_memory,imports_avg_war_loss_memory,imports_avg_war_loss_no_memory,exports_value,exports_relative,exports_slope,exports_reg,exports_relative,exports_peace_reg_memory,exports_peace_reg_no_memory,exports_avg_war_loss_memory,exports_avg_war_loss_no_memory,total_no_colonial_product_value,total_no_colonial_product_relative,total_no_colonial_product_slope,total_no_colonial_product_reg,total_no_colonial_product_relative,total_no_colonial_product_peace_reg_memory,total_no_colonial_product_peace_reg_no_memory,total_no_colonial_product_avg_war_loss_memory,total_no_colonial_product_avg_war_loss_no_memory,total_no_colonial_trade_value,total_no_colonial_trade_relative,total_no_colonial_trade_slope,total_no_colonial_trade_reg,total_no_colonial_trade_relative,total_no_colonial_trade_peace_reg_memory,total_no_colonial_trade_peace_reg_no_memory,total_no_colonial_trade_avg_war_loss_memory,total_no_colonial_trade_avg_war_loss_no_memory,imports_no_colonial_product_value,imports_no_colonial_product_relative,imports_no_colonial_product_slope,imports_no_colonial_product_reg,imports_no_colonial_product_relative,imports_no_colonial_product_peace_reg_memory,imports_no_colonial_product_peace_reg_no_memory,imports_no_colonial_product_avg_war_loss_memory,imports_no_colonial_product_avg_war_loss_no_memory,exports_no_colonial_product_value,exports_no_colonial_product_relative,exports_no_colonial_product_slope,exports_no_colonial_product_reg,exports_no_colonial_product_relative,exports_no_colonial_product_peace_reg_memory,exports_no_colonial_product_peace_reg_no_memory,exports_no_colonial_product_avg_war_loss_memory,exports_no_colonial_product_avg_war_loss_no_memory,imports_no_colonial_trade_value,imports_no_colonial_trade_relative,imports_no_colonial_trade_slope,imports_no_colonial_trade_reg,imports_no_colonial_trade_relative,imports_no_colonial_trade_peace_reg_memory,imports_no_colonial_trade_peace_reg_no_memory,imports_no_colonial_trade_avg_war_loss_memory,imports_no_colonial_trade_avg_war_loss_no_memory,exports_no_colonial_trade_value,exports_no_colonial_trade_relative,exports_no_colonial_trade_slope,exports_no_colonial_trade_reg,exports_no_colonial_trade_relative,exports_no_colonial_trade_peace_reg_memory,exports_no_colonial_trade_peace_reg_no_memory,exports_no_colonial_trade_avg_war_loss_memory,exports_no_colonial_trade_avg_war_loss_no_memory
1776,Bayonne,15775298.451347623,0.022500201587077603,0.1,18255013.415380035,0.022500201587077603,14977623.64145483,11696522.067581084,22.6%,40.3%,6762369.247874388,0.01823094943626088,0.3,6728263.724508335,0.01823094943626088,5435761.887723756,4797121.9624152845,13.4%,23.8%,9012929.203473236,0.027296181264449475,-0.4,11057362.526336025,0.027296181264449475,9436441.01655539,7002392.010806918,29.2%,49.7%,14343279.246954974,,0.3,16634619.65677545,,13548702.92385313,10667119.127501395,31.5%,49.0%,11629745.57335116,,0.5,11429916.551198201,,9102978.039401073,8164251.493026018,29.0%,37.4%,5843292.286714617,,0.4,5735800.431772662,,4552299.036908453,4151361.1703005196,28.9%,36.9%,8499986.960240357,,0.2,10628320.74312286,,8932568.331462393,6581149.730415791,31.3%,52.7%,5814872.78667558,,0.5,5662943.892290137,,4529866.205060133,4165155.495917024,30.1%,37.3%,5814872.78667558,,0.5,5714958.27559909,,4551489.019700512,4082125.7465130016,29.0%,37.4%
1776,La Rochelle,25260613.440927494,0.03602904226420876,-0.7,13046772.630928442,0.03602904226420876,14685867.274708187,22660369.383152675,47.4%,42.5%,9773015.38889426,0.026347474215599104,-0.5,5901738.92236807,0.026347474215599104,6540837.586178218,9240839.00147492,149.9%,144.1%,15487598.052033234,0.04690509314289535,-0.8,7138313.287702777,0.04690509314289535,8164278.863577452,12160080.123653864,-0.4%,-1.6%,21133608.122192893,,-1.3,9171424.126681034,,10670959.540280404,19289263.948365953,44.1%,34.1%,12613929.2553102,,1.8,5331282.462418426,,6427533.5091131525,14931851.698538931,8.1%,-17.7%,7120486.377576,,-1.0,3650390.8635136327,,4162400.253422056,7498947.064944396,99.7%,86.6%,14013121.744616894,,-1.4,5461061.506139394,,6366245.668276176,11016230.945886998,7.4%,2.2%,6306964.6276551,,1.8,2626298.344476481,,3070948.176733146,7120168.549845887,9.3%,-17.2%,6306964.6276551,,1.8,2665641.231209236,,3213766.754556599,7465925.849269452,8.1%,-17.7%
1755,Marseille,142798869.8024428,0.276374131060551,1.1,117077406.12039375,0.276374131060551,,,-39.5%,-30.6%,79420447.92118075,0.31355233378714237,1.8,59364798.24712162,0.31355233378714237,,,-40.0%,-29.8%,63378421.88126205,0.24062180912136333,0.3,55438407.75305724,0.24062180912136333,,,-41.6%,-33.6%,120718025.20214011,,0.9,100923480.75118335,,,,-38.2%,-27.0%,127785562.12080185,,1.5,99825694.18319511,,,,-35.9%,-21.0%,67530864.66140787,,1.6,51534504.25009583,,,,-38.0%,-24.8%,53187160.540732235,,0.1,47588838.66332362,,,,-40.0%,-29.9%,63892781.060400926,,1.5,49537961.70159931,,,,-35.4%,-19.2%,63892781.060400926,,1.5,49912847.09159746,,,,-35.9%,-21.0%
1755,Rouen,48031151.68087739,0.092959894066423,2.5,45502385.845641196,0.092959894066423,,,30.0%,25.3%,24352828.67799664,0.09614509192748924,3.3,24635692.648614,0.09614509192748924,,,53.9%,47.8%,23678323.002880752,0.08989685682908495,1.3,20959583.38392964,0.08989685682908495,,,6.6%,3.6%,31761797.162419,,2.0,33460963.978876054,,,,97.5%,93.3%,25616680.32145334,,3.1,28321662.866721146,,,,157.2%,145.3%,16248958.76121027,,3.0,18207591.000960305,,,,126.8%,119.7%,15512838.40120873,,0.1,15433641.317481143,,,,71.2%,70.8%,12808340.16072667,,3.1,14160831.433360547,,,,157.2%,145.3%,12808340.16072667,,3.1,14160831.433360547,,,,157.2%,145.3%
1755,Bordeaux,70406283.9669791,0.13626491287708625,3.7,58987349.19979014,0.13626491287708625,,,-49.2%,-57.2%,28538401.980427515,0.11266975669035761,4.2,21527163.990778353,0.11266975669035761,,,-38.5%,-53.8%,41867881.98655158,0.15895513344522508,3.2,36882805.14974975,0.15895513344522508,,,-56.9%,-60.6%,34930179.67159087,,2.2,34550402.31698467,,,,-53.2%,-55.5%,13715763.562669296,,3.0,13687247.596389068,,,,-46.2%,-38.5%,9987974.531700874,,2.9,10355060.78816617,,,,-47.7%,-40.4%,24942205.13989,,1.9,23856919.410671473,,,,-53.5%,-55.1%,6857881.781334648,,3.0,7009906.366952718,,,,-47.0%,-41.8%,6857881.781334648,,3.0,6843623.798194619,,,,-46.2%,-38.5%
1755,Nantes,30841541.548176665,0.059690978351142336,1.2,29557976.097433817,0.059690978351142336,,,-41.9%,-38.6%,15820236.834144201,0.06245837577413501,1.1,12827605.074138116,0.06245837577413501,,,-48.6%,-46.3%,15021304.714032464,0.0570297178182402,0.6,15249804.530000072,0.0570297178182402,,,-24.4%,13.7%,14876759.088964077,,0.6,18378201.952173512,,,,-23.1%,6.9%,6284780.8316771835,,-0.2,9509642.859250639,,,,-30.2%,53.9%,5296486.928409722,,0.0,6838741.484050795,,,,-34.6%,31.5%,9580272.160554355,,0.6,10188459.370978396,,,,-6.7%,42.0%,3142390.4158385918,,-0.1,4768626.145935852,,,,-31.5%,56.8%,3142390.4158385918,,-0.2,4754821.429625319,,,,-30.2%,53.9%
1755,Bayonne,18386550.5705723,0.035585484284105094,0.1,17886079.92804008,0.035585484284105094,,,22.6%,40.3%,7318646.034677399,0.028894051902257228,0.3,6354096.14142542,0.028894051902257228,,,13.4%,23.8%,11067904.535894902,0.04202028282747363,-0.4,12031460.211712789,0.04202028282747363,,,29.2%,49.7%,15999202.915834371,,0.3,15528547.327946216,,,,31.5%,49.0%,11198336.659063749,,0.5,10273815.253216485,,,,29.0%,37.4%,5949910.367980329,,0.4,5281661.857356217,,,,28.9%,36.9%,10049292.547854042,,0.2,10295060.324943412,,,,31.3%,52.7%,5599168.3295318745,,0.5,5134077.154186774,,,,30.1%,37.3%,5599168.3295318745,,0.5,5136907.626608241,,,,29.0%,37.4%
1755,La Rochelle,,0.0,-0.7,15220389.367326215,0.0,,,47.4%,42.5%,,0.0,-0.5,6597320.4022195125,0.0,,,149.9%,144.1%,,0.0,-0.8,8491126.893424744,0.0,,,-0.4%,-1.6%,,,-1.3,11980290.1466066,,,,44.1%,34.1%,,,1.8,3620011.19913971,,,,8.1%,-17.7%,,,-1.0,4468133.481145648,,,,99.7%,86.6%,,,-1.4,7266037.594437691,,,,7.4%,2.2%,,,1.8,1790217.6575915313,,,,9.3%,-17.2%,,,1.8,1810005.599569858,,,,8.1%,-17.7%
1760,Marseille,,0.0,1.1,123892979.00876981,0.0,175520624.09041527,131780937.8390152,-39.5%,-30.6%,,0.0,1.8,64954201.62291968,0.0,92198626.5761469,67484642.45121184,-40.0%,-29.8%,30709015.256290216,0.17186536089365811,0.3,56211005.586565085,0.17186536089365811,78231122.41457492,60257995.12915271,-41.6%,-33.6%,,,0.9,105537411.15647595,,151115573.6037076,108219691.2358278,-38.2%,-27.0%,,,1.5,107448222.1503217,,170853261.36391908,107973316.18877035,-35.9%,-21.0%,,,1.6,55824081.26499529,,79506817.46128662,53975187.13919959,-38.0%,-24.8%,29649339.857185274,,0.1,47753722.337082356,,65708676.116741836,49276088.73624019,-40.0%,-29.9%,,,1.5,53500382.66948323,,78062480.50982611,48822774.86461837,-35.4%,-19.2%,,,1.5,53724111.07516076,,85426630.68195939,53986658.09438469,-35.9%,-21.0%
1760,Rouen,,0.0,2.5,51668206.01283718,0.0,39453050.01983488,39453050.01983488,30.0%,25.3%,,0.0,3.3,29087715.366060898,0.0,17286221.883924425,17286221.883924425,53.9%,47.8%,,0.0,1.3,22324476.214413438,0.0,23200403.08610315,23200403.08610315,6.6%,3.6%,,,2.0,36962207.21275573,,21418740.399368092,21418740.399368092,97.5%,93.3%,,,3.1,33095254.492183924,,13452880.620263124,13452880.620263124,157.2%,145.3%,,,3.0,21185163.367722426,,9497049.687802944,9497049.687802944,126.8%,119.7%,,,0.1,15517769.151010163,,12469872.108450146,12469872.108450146,71.2%,70.8%,,,3.1,16547627.24609205,,6726440.310131549,6726440.310131549,157.2%,145.3%,,,3.1,16547627.24609205,,6726440.310131549,6726440.310131549,157.2%,145.3%
1760,Bordeaux,31965375.94073119,0.10772491972702726,3.7,70997473.2018887,0.10772491972702726,132267690.78988113,159614108.09390193,-49.2%,-57.2%,8626459.701777188,0.07307410999487796,4.2,26499265.270215746,0.07307410999487796,39259516.40805945,32425250.825401787,-38.5%,-53.8%,23338916.238954,0.13061803606525843,3.2,43215424.585944355,0.13061803606525843,91637344.64837465,135774288.27225086,-56.9%,-60.6%,29107079.0354503,,2.2,38639791.52370855,,68767400.49275088,78880859.98457246,-53.2%,-55.5%,11609573.402116716,,3.0,15882189.956602307,,22949308.612395998,11990108.150441801,-46.2%,-38.5%,6461837.951410678,,2.9,11985433.137891503,,14932295.717559494,8506544.158407282,-47.7%,-40.4%,22645241.08403962,,1.9,26220289.62355639,,52053509.64216892,79411194.62699646,-53.5%,-55.1%,5804786.701058358,,3.0,8162610.039296977,,11570314.018524181,5995054.075220805,-47.0%,-41.8%,5804786.701058358,,3.0,7941094.978301251,,11474654.306197977,5995054.075220805,-46.2%,-38.5%
1760,Nantes,6693610.976483327,0.022557804621556436,1.2,31354411.51156199,0.022557804621556436,28041679.727632638,23576494.797469735,-41.9%,-38.6%,2325837.727527288,0.0197020014939097,1.1,13535899.981942412,0.0197020014939097,15068155.072210982,11593085.504074853,-48.6%,-46.3%,4367773.24895604,0.024444578227878332,0.6,15718358.966728695,0.024444578227878332,16972996.659406282,19289695.501967203,-24.4%,13.7%,6433357.474504798,,0.6,18894342.250981566,,13060535.306614846,8557749.16522071,-23.1%,6.9%,4243199.748488136,,-0.2,9415540.224489396,,7433905.836643605,1788295.297258121,-30.2%,53.9%,2172818.874380138,,0.0,6846522.769027732,,5737444.098259895,1913510.86779608,-34.6%,31.5%,4260538.60012466,,0.6,10505595.110719873,,9129002.848321784,13286620.936208714,-6.7%,42.0%,2121599.874244068,,-0.1,4733427.616830001,,3716952.9183217427,894147.6486290587,-31.5%,56.8%,2121599.874244068,,-0.2,4707770.11224469,,3716952.9183217427,894147.6486290587,-30.2%,53.9%
1760,Bayonne,20134008.346470013,0.06785261768634672,0.1,17973239.235413305,0.06785261768634672,17860826.442271613,17860826.442271613,22.6%,40.3%,5435098.078555205,0.0460403188046506,0.3,6441251.604562715,0.0460403188046506,6673947.34089749,6673947.34089749,13.4%,23.8%,14698910.26791481,0.0822635795011766,-0.4,11792018.47503929,0.0822635795011766,11269401.518039,11269401.518039,29.2%,49.7%,18944021.159994524,,0.3,15785036.946339013,,14904191.271557426,14904191.271557426,31.5%,49.0%,9336532.65007743,,0.5,10538001.443034157,,8766739.803926297,8766739.803926297,29.0%,37.4%,4820746.325038715,,0.4,5386417.142016147,,4734594.569263341,4734594.569263341,28.9%,36.9%,14123274.83495581,,0.2,10373447.742260136,,10468183.944072206,10468183.944072206,31.3%,52.7%,4668266.325038715,,0.5,5255335.598113517,,4383369.90196314,4383369.90196314,30.1%,37.3%,4668266.325038715,,0.5,5269000.721517087,,4383369.90196314,4383369.90196314,29.0%,37.4%
1760,La Rochelle,6173162.77964594,0.020803868101919146,-0.7,14672083.634626262,0.020803868101919146,21027559.41635285,14665036.560721654,47.4%,42.5%,2857492.65888236,0.024205611581505204,-0.5,6424609.318307889,0.024205611581505204,10704296.723639173,7916840.138371825,149.9%,144.1%,3315670.12076358,0.01855640231878252,-0.8,8147421.000166069,0.01855640231878252,10321235.869733535,6855745.557451918,-0.4%,-1.6%,4803365.6951494,,-1.3,11241933.519917035,,16053108.770779466,13376406.798079938,44.1%,34.1%,2256211.15045086,,1.8,3969528.3599198293,,4745652.563204216,8361587.919887984,8.1%,-17.7%,1732702.42522543,,-1.0,4258185.010830786,,7701332.669708904,7438366.668504211,99.7%,86.6%,3070663.26992397,,-1.4,6788423.571362341,,8352339.082439775,6097959.758600874,7.4%,2.2%,1128105.57522543,,1.8,1961254.6436518303,,2372826.2816021037,4180793.959943984,9.3%,-17.2%,1128105.57522543,,1.8,1984764.179959932,,2372826.2816021037,4180793.959943984,8.1%,-17.7%
1774,Marseille,154534027.9831894,0.2514664924274066,1.1,145161947.51141036,0.2514664924274066,,,-39.5%,-30.6%,81034010.61662848,0.27413152928316287,1.8,83565373.21178752,0.27413152928316287,,,-40.0%,-29.8%,73500017.3665609,0.23045914228163403,0.3,58432040.45671456,0.23045914228163403,,,-41.6%,-33.6%,124081140.41220024,,0.9,119609656.18662284,,,,-38.2%,-27.0%,117489717.19887936,,1.5,132031798.81116514,,,,-35.9%,-21.0%,63014959.79994118,,1.6,69830850.76302019,,,,-38.0%,-24.8%,61066180.61225905,,0.1,48218442.163958006,,,,-40.0%,-29.9%,58744858.59943968,,1.5,66363518.451480605,,,,-35.4%,-19.2%,58744858.59943968,,1.5,66015899.40558245,,,,-35.9%,-21.0%
1774,Rouen,79898324.5800488,0.13001506331768525,2.5,73748498.22748713,0.13001506331768525,,,30.0%,25.3%,54178534.07285966,0.18328161578942348,3.3,46314304.71238606,0.18328161578942348,,,53.9%,47.8%,25719790.50718914,0.08064434638687305,1.3,26637744.457118824,0.08064434638687305,,,6.6%,3.6%,60262159.94954716,,2.0,48839628.80166634,,,,97.5%,93.3%,71223644.22090298,,3.1,51189072.262110874,,,,157.2%,145.3%,43916294.36045149,,3.0,32375310.048422195,,,,126.8%,119.7%,16345865.58909567,,0.1,15755774.695080794,,,,71.2%,70.8%,35611822.11045149,,3.1,25594536.13105557,,,,157.2%,145.3%,35611822.11045149,,3.1,25594536.13105557,,,,157.2%,145.3%
1774,Bordeaux,124391553.8938669,0.20241695731045184,3.7,119288376.28011872,0.20241695731045184,,,-49.2%,-57.2%,60394667.57609493,0.20431029461826716,4.2,47416060.715306796,0.20431029461826716,,,-38.5%,-53.8%,63996886.31777197,0.20066209584596545,3.2,67347322.8004462,0.20066209584596545,,,-56.9%,-60.6%,47560379.249704786,,2.2,52852244.895891,,,,-53.2%,-55.5%,35272226.88367971,,3.0,24086534.587108064,,,,-46.2%,-38.5%,22579105.591838345,,2.9,18049150.226238687,,,,-47.7%,-40.4%,24981273.65786644,,1.9,34158769.93822405,,,,-53.5%,-55.1%,17636113.441839855,,3.0,12501328.821147185,,,,-47.0%,-41.8%,17636113.441839855,,3.0,12043267.293554181,,,,-46.2%,-38.5%
1774,Nantes,50732127.234810054,0.08255418082097993,1.2,36986713.47202079,0.08255418082097993,,,-41.9%,-38.6%,28423559.140108515,0.09615461058210864,1.1,15734157.501014981,0.09615461058210864,,,-48.6%,-46.3%,22308568.094701536,0.06994846603907547,0.6,17108321.177567575,0.06994846603907547,,,-24.4%,13.7%,17957623.08350968,,0.6,20417957.768974457,,,,-23.1%,6.9%,9076830.99690022,,-0.2,9156977.435206054,,,,-30.2%,53.9%,8220381.153757416,,0.0,6868357.50098992,,,,-34.6%,31.5%,9737241.929752264,,0.6,11447078.306209192,,,,-6.7%,42.0%,4538415.49845011,,-0.1,4636247.8118421035,,,,-31.5%,56.8%,4538415.49845011,,-0.2,4578488.7176030185,,,,-30.2%,53.9%
1774,Bayonne,13806653.202568354,0.022466965355935502,0.1,18219551.469697945,0.022466965355935502,,,22.6%,40.3%,5343625.98299427,0.018077056182813068,0.3,6691699.238555493,0.018077056182813068,,,13.4%,23.8%,8463027.219574085,0.026535803174061547,-0.4,11146630.986611009,0.026535803174061547,,,29.2%,49.7%,12716619.025744345,,0.3,16525970.23792091,,,,31.5%,49.0%,9486904.81744274,,0.5,11314424.24309061,,,,29.0%,37.4%,4765611.40872137,,0.4,5690917.322448082,,,,28.9%,36.9%,7951007.617022975,,0.2,10596122.270604242,,,,31.3%,52.7%,4743452.40872137,,0.5,5610312.249942843,,,,30.1%,37.3%,4743452.40872137,,0.5,5657212.121545314,,,,29.0%,37.4%
1774,La Rochelle,21859271.80073161,0.03557064083869775,-0.7,13239655.397360122,0.03557064083869775,,,47.4%,42.5%,10279879.885690117,0.034776005438550826,-0.5,5964696.283863268,0.034776005438550826,,,149.9%,144.1%,11579391.915041493,0.0363071578007195,-0.8,7257276.562925543,0.0363071578007195,,,-0.4%,-1.6%,18616683.378591605,,-1.3,9407783.33724409,,,,44.1%,34.1%,13664799.809120936,,1.8,5138307.548279927,,,,8.1%,-17.7%,8172829.335032318,,-1.0,3721345.6760573266,,,,99.7%,86.6%,10443854.043559285,,-1.4,5611623.832432163,,,,7.4%,2.2%,6832399.904560468,,1.8,2532169.658167182,,,,9.3%,-17.2%,6832399.904560468,,1.8,2569153.7741399864,,,,8.1%,-17.7%
1789,Marseille,213669273.74149555,0.19826930062346942,1.1,172017882.49746597,0.19826930062346942,,,-39.5%,-30.6%,131546378.56101586,0.20666365849679802,1.8,109461429.57523678,0.20666365849679802,,,-40.0%,-29.8%,82122895.1804797,0.1861572424231317,0.3,60909196.58095606,0.1861572424231317,,,-41.6%,-33.6%,158724007.91360533,,0.9,136775682.51456955,,,,-38.2%,-27.0%,194887727.87247223,,1.5,164645257.39341834,,,,-35.9%,-21.0%,99920806.93623611,,1.6,88760099.08259237,,,,-38.0%,-24.8%,58803200.97736921,,0.1,48721375.97563435,,,,-40.0%,-29.9%,97443863.93623611,,1.5,83596033.11295666,,,,-35.4%,-19.2%,97443863.93623611,,1.5,82322628.696709,,,,-35.9%,-21.0%
1789,Rouen,150323252.0,0.13948887230994217,2.5,107974405.67601399,0.13948887230994217,,,30.0%,25.3%,108058409.0,0.1697632909363983,3.3,76234165.80437016,0.1697632909363983,,,53.9%,47.8%,42264843.0,0.09580649351238134,1.3,32187951.99536518,0.09580649351238134,,,6.6%,3.6%,97033228.0,,2.0,65831037.76506064,,,,97.5%,93.3%,128977050.0,,3.1,81680462.34712116,,,,157.2%,145.3%,75253362.0,,3.0,50997856.2780074,,,,126.8%,119.7%,21779866.0,,0.1,16014832.97683502,,,,71.2%,70.8%,64488525.0,,3.1,40840231.17356051,,,,157.2%,145.3%,64488525.0,,3.1,40840231.17356051,,,,157.2%,145.3%
1789,Bordeaux,250634332.2362,0.23257014401060805,3.7,207993692.153928,0.23257014401060805,,,-49.2%,-57.2%,119052135.35924596,0.18703479422495609,4.2,88443620.14966173,0.18703479422495609,,,-38.5%,-53.8%,131582196.87695405,0.2982722280888818,3.2,108334019.32427597,0.2982722280888818,,,-56.9%,-60.6%,109222850.736045,,2.2,73927911.2582569,,,,-53.2%,-55.5%,68508988.71849191,,3.0,37631983.406531766,,,,-46.2%,-38.5%,44592478.359245956,,2.9,27987235.48644542,,,,-47.7%,-40.4%,64630372.37679905,,1.9,45349404.26425288,,,,-53.5%,-55.1%,34254494.359245956,,3.0,19738160.425209932,,,,-47.0%,-41.8%,34254494.359245956,,3.0,18815991.703265984,,,,-46.2%,-38.5%
1789,Nantes,99155476.17309558,0.09200895650355172,1.2,44148669.91874606,0.09200895650355172,,,-41.9%,-38.6%,55708633.02290359,0.08752008254661818,1.1,18487073.204050694,0.08752008254661818,,,-48.6%,-46.3%,43446843.150192,0.09848586676170355,0.6,18734243.983849782,0.09848586676170355,,,-24.4%,13.7%,36653963.92305925,,0.6,22186999.634974115,,,,-23.1%,6.9%,22074354.145734496,,-0.2,8887820.033030283,,,,-30.2%,53.9%,16568169.072867248,,0.0,6891829.1357208155,,,,-34.6%,31.5%,20085794.850192,,0.6,12549634.47813604,,,,-6.7%,42.0%,11037177.072867248,,-0.1,4534339.514337394,,,,-31.5%,56.8%,11037177.072867248,,-0.2,4443910.0165151255,,,,-30.2%,53.9%
1789,Bayonne,27236435.20782915,0.02527339970587447,0.1,18487204.489753794,0.02527339970587447,,,22.6%,40.3%,10583312.23,0.016626729282792164,0.3,6970851.949597871,0.016626729282792164,,,13.4%,23.8%,16653122.97782915,0.03774951485177118,-0.4,10494289.947466467,0.03774951485177118,,,29.2%,49.7%,24135246.20782915,,0.3,17358463.652066853,,,,31.5%,49.0%,16850744.46,,0.5,12209895.992143333,,,,29.0%,37.4%,8485059.23,,0.4,6036294.8732518805,,,,28.9%,36.9%,15650186.97782915,,0.2,10840009.03529707,,,,31.3%,52.7%,8425372.23,,0.5,6017293.906140569,,,,30.1%,37.3%,8425372.23,,0.5,6104947.9960716665,,,,29.0%,37.4%
1789,La Rochelle,23933450.373430245,0.02220847379669347,-0.7,11859729.267982388,0.02220847379669347,,,47.4%,42.5%,10599154.435469553,0.016651617905168625,-0.5,5508403.880996161,0.016651617905168625,,,149.9%,144.1%,13334295.937960694,0.030226354733469706,-0.8,6411182.720648407,0.030226354733469706,,,-0.4%,-1.6%,13188711.373430245,,-1.3,7773352.040401663,,,,44.1%,34.1%,6158930.870939104,,1.8,6774965.373099305,,,,8.1%,-17.7%,4679014.435469552,,-1.0,3221033.0265379595,,,,99.7%,86.6%,8509696.937960694,,-1.4,4576172.928921031,,,,7.4%,2.2%,3079465.435469552,,1.8,3329486.404714676,,,,9.3%,-17.2%,3079465.435469552,,1.8,3387482.686549682,,,,8.1%,-17.7%
1771,Marseille,,0.0,1.1,140316461.42247352,0.0,,,-39.5%,-30.6%,97527353.57682063,0.2896609671757924,1.8,79173420.02373561,0.2896609671757924,,,-40.0%,-29.8%,,0.0,0.3,57948832.210829526,0.0,,,-41.6%,-33.6%,,,0.9,116444159.99215975,,,,-38.2%,-27.0%,,,1.5,126329391.17949577,,,,-35.9%,-21.0%,83992829.23529856,,1.6,66559989.40164386,,,,-38.0%,-24.8%,,,0.1,48118480.11784256,,,,-40.0%,-29.9%,80349822.38526827,,1.5,63369189.15642921,,,,-35.4%,-19.2%,,,1.5,63164695.589747764,,,,-35.9%,-21.0%
1771,Rouen,73327506.14141777,0.1083886350963185,2.5,68334442.05153278,0.1083886350963185,,,30.0%,25.3%,47961553.22247759,0.1424481377189544,3.3,41920673.15902633,0.1424481377189544,,,53.9%,47.8%,25365952.91894017,0.07464326419413904,1.3,25648281.345416684,0.07464326419413904,,,6.6%,3.6%,51453789.00759831,,2.0,46008776.58285473,,,,97.5%,93.3%,62977417.36746292,,3.1,46621803.84625594,,,,157.2%,145.3%,35994140.7347624,,3.0,29562852.68992697,,,,126.8%,119.7%,15459648.27283591,,0.1,15704468.091615528,,,,71.2%,70.8%,31488708.68373146,,3.1,23310901.923127927,,,,157.2%,145.3%,31488708.68373146,,3.1,23310901.923127927,,,,157.2%,145.3%
1771,Bordeaux,,0.0,3.7,106735212.65646468,0.0,,,-49.2%,-57.2%,93415459.66051453,0.2774484429450052,4.2,41857883.24488141,0.2774484429450052,,,-38.5%,-53.8%,,0.0,3.2,61239471.24734967,0.0,,,-56.9%,-60.6%,,,2.2,49421331.19444386,,,,-53.2%,-55.5%,,,3.0,22030165.69147376,,,,-46.2%,-38.5%,53203407.53370418,,2.9,16533169.2331736,,,,-47.7%,-40.4%,,,1.9,32276642.406085275,,,,-53.5%,-55.1%,31251537.82019224,,3.0,11410011.426617254,,,,-47.0%,-41.8%,,,3.0,11015082.845737016,,,,-46.2%,-38.5%
1771,Nantes,46403343.88607542,0.06859083817765257,1.2,35700258.98809703,0.06859083817765257,,,-41.9%,-38.6%,24093575.251814272,0.0715590862892229,1.1,15234863.22759107,0.0715590862892229,,,-48.6%,-46.3%,22309768.634261146,0.06564996629926918,0.6,16800478.040663056,0.06564996629926918,,,-24.4%,13.7%,20780052.006272167,,0.6,20081448.981271904,,,,-23.1%,6.9%,11113484.9611638,,-0.2,9211779.257045092,,,,-30.2%,53.9%,8921777.875814755,,0.0,6863672.775304593,,,,-34.6%,31.5%,11858274.130457414,,0.6,11238474.619301133,,,,-6.7%,42.0%,5556742.4805819,,-0.1,4656902.684606733,,,,-31.5%,56.8%,5556742.4805819,,-0.2,4605889.628522546,,,,-30.2%,53.9%
1771,Bayonne,15032020.643571433,0.022219495603111872,0.1,18166487.674163703,0.022219495603111872,,,22.6%,40.3%,5366804.8548549,0.01593967054254695,0.3,6637224.749939479,0.01593967054254695,,,13.4%,23.8%,9665215.788716532,0.02844140166608316,-0.4,11281886.774829965,0.02844140166608316,,,29.2%,49.7%,13682754.930621032,,0.3,16364325.246798461,,,,31.5%,49.0%,9367509.49766202,,0.5,11143370.17711397,,,,29.0%,37.4%,4686539.74883101,,0.4,5624250.32506148,,,,28.9%,36.9%,8996215.181790022,,0.2,10548007.366686491,,,,31.3%,52.7%,4683754.74883101,,0.5,5532280.540425396,,,,30.1%,37.3%,4683754.74883101,,0.5,5571685.088557004,,,,29.0%,37.4%
1771,La Rochelle,10840840.44986194,0.016024326497499734,-0.7,13534339.387288002,0.016024326497499734,,,47.4%,42.5%,5076204.03314896,0.015076572016951065,-0.5,6060393.818836411,0.015076572016951065,,,149.9%,144.1%,5764636.41671298,0.01696333981265783,-0.8,7439449.112752218,0.01696333981265783,,,-0.4%,-1.6%,7820871.77738863,,-1.3,9773792.195138093,,,,44.1%,34.1%,5398855.7463514,,1.8,4861862.78818313,,,,8.1%,-17.7%,3614279.82510264,,-1.0,3830372.2348952508,,,,99.7%,86.6%,4206591.95228599,,-1.4,5845286.139265206,,,,7.4%,2.2%,2699427.8731757,,1.8,2397264.2642827686,,,,9.3%,-17.2%,2699427.8731757,,1.8,2430931.3940915694,,,,8.1%,-17.7%
